,Episodes,Scores
0,0.0,25.85082615542011
1,1.0,7.622055644873882
2,2.0,9.554019581163598
3,3.0,26.511144503765063
4,4.0,14.88804698394528
5,5.0,66.13882559409066
6,6.0,42.82683591569072
7,7.0,29.818853432451583
8,8.0,13.992002965450535
9,9.0,7.933985466821425
10,10.0,29.972096720657394
11,11.0,449.96357562183726
12,12.0,1446.140323482432
13,13.0,181.6467942372603
14,14.0,109.2212551876323
15,15.0,164.89722192255746
16,16.0,86.83938124855675
17,17.0,30.204876034432
18,18.0,30.193153049569673
19,19.0,38.92300168235997
20,20.0,32.96580675557628
21,21.0,37.635353845118146
22,22.0,8.946978094965846
23,23.0,51.089595136598334
24,24.0,99.63812746629904
25,25.0,119.28026943745817
26,26.0,185.73018528337087
27,27.0,223.81981191172812
28,28.0,275.85902493448043
29,29.0,337.3238171382315
30,30.0,489.3859325320194
31,31.0,461.3105675607502
32,32.0,364.19293471088923
33,33.0,291.0237904454135
34,34.0,246.3427958452327
35,35.0,300.82573536473103
36,36.0,362.9055695564081
37,37.0,307.617962135739
38,38.0,274.5177604809482
39,39.0,357.7273072047859
40,40.0,387.7993198542
41,41.0,509.73246751632524
42,42.0,665.8068833638795
43,43.0,732.8165243684169
44,44.0,699.7655267351645
45,45.0,666.3624973307917
46,46.0,760.4978924889446
47,47.0,779.3585182237729
48,48.0,765.4539908495741
49,49.0,788.7692035751604
50,50.0,807.6947623594111
51,51.0,736.9308476014809
52,52.0,817.8414433853582
53,53.0,853.8369142349779
54,54.0,915.8104629155484
55,55.0,980.104191006064
56,56.0,998.9337349181285
57,57.0,1082.193742066049
58,58.0,1016.7169397785043
59,59.0,1152.287982320736
60,60.0,1156.0249131245662
61,61.0,1221.6213255853113
62,62.0,1234.9215742445474
63,63.0,1187.2730178999811
64,64.0,1334.4614667045753
65,65.0,1271.534378916663
66,66.0,1315.0304571433026
67,67.0,1331.6545635983678
68,68.0,1688.686358289546
69,69.0,1606.5454084191394
70,70.0,1704.4622406594958
71,71.0,1550.4923705260394
72,72.0,1799.8262937249922
73,73.0,1712.7334797184633
74,74.0,2229.1769392480624
75,75.0,2020.0334204958708
76,76.0,2318.9814838482594
77,77.0,2222.598924239249
78,78.0,2481.065752260384
79,79.0,2326.9536958538733
80,80.0,2430.469395896257
81,81.0,2313.5371604853963
82,82.0,2479.9512833478625
83,83.0,2496.416369309766
84,84.0,2495.26158080727
85,85.0,2493.689470033799
86,86.0,2496.7053464052897
87,87.0,2485.5229059137146
88,88.0,2435.9587176904356
89,89.0,2430.8912717703824
90,90.0,2441.949347045398
91,91.0,2287.9625011955322
92,92.0,2390.147934350453
93,93.0,2400.2093638507204
94,94.0,2453.616909633332
95,95.0,2445.9135238137114
96,96.0,2476.5808167879945
97,97.0,2496.9792296207556
98,98.0,2456.013268044076
99,99.0,2180.1006568709645
100,100.0,2313.6232371089004
101,101.0,2315.6103643043016
102,102.0,2326.673360313624
103,103.0,2331.0599932143778
104,104.0,2300.718588018544
105,105.0,2406.4778182219115
106,106.0,2379.66730587101
107,107.0,2336.0189206265727
108,108.0,2369.648524894244
109,109.0,2334.287586907859
110,110.0,2327.722252237402
111,111.0,2369.64360765977
112,112.0,2315.025135757855
113,113.0,2353.026894047476
114,114.0,2370.9783889961795
115,115.0,2314.722059590626
116,116.0,2327.7313860457057
117,117.0,2308.4965264287393
118,118.0,2300.0675815087975
119,119.0,2423.780420177733
120,120.0,2437.0021319111333
121,121.0,2445.9199754801907
122,122.0,2225.7990396478594
123,123.0,2324.1851882405062
124,124.0,2404.8313642319986
125,125.0,2469.6062683822124
126,126.0,2304.133208052852
127,127.0,2239.4263122726397
128,128.0,2366.776992509896
129,129.0,2362.93053949714
130,130.0,2357.4525071588146
131,131.0,2202.812411244305
132,132.0,2386.047031854676
133,133.0,2352.390955394929
134,134.0,2270.5975019663765
135,135.0,2128.9140126722777
136,136.0,2377.6426758085504
137,137.0,2390.986687771486
138,138.0,2127.2973518082085
139,139.0,2361.6075052700003
140,140.0,2405.3695174910176
141,141.0,2353.574047674844
142,142.0,2145.9142039861154
143,143.0,2417.072073891651
144,144.0,2372.508767900936
145,145.0,2274.1819018459873
146,146.0,2429.4423378002784
147,147.0,2441.923436138902
148,148.0,2195.3880020039496
149,149.0,2424.1339308248525
150,150.0,2306.1042641462873
151,151.0,2335.5675076578946
152,152.0,2294.19338956585
153,153.0,2280.8535386993435
154,154.0,2346.1141553747157
155,155.0,2264.4297799794967
156,156.0,2276.359270682029
157,157.0,2289.301249700437
158,158.0,2306.7917379679343
159,159.0,2229.245991407516
160,160.0,2201.2093652043063
161,161.0,2209.90831951895
162,162.0,2278.9878627297526
163,163.0,2176.7684468883026
164,164.0,2180.5697781403155
165,165.0,2213.7249868680797
166,166.0,2272.364668907245
167,167.0,2262.3810868851315
168,168.0,2275.4726822130833
169,169.0,2352.2097056597845
170,170.0,2238.824065369975
171,171.0,2306.9362542408558
172,172.0,2303.0158134864814
173,173.0,2329.381169057222
174,174.0,2357.269877144101
175,175.0,2351.4588092970857
176,176.0,2274.123858407241
177,177.0,2332.708883164484
178,178.0,2351.729078063923
179,179.0,2330.1441179107037
180,180.0,2294.4075079385025
181,181.0,2274.719470962018
182,182.0,2241.150694938993
183,183.0,2282.776424560736
184,184.0,2262.61102321462
185,185.0,2228.7630341850804
186,186.0,2251.94581041779
187,187.0,2234.354557152238
188,188.0,2227.1178979467813
189,189.0,2221.2857755421196
190,190.0,2244.66249358771
191,191.0,2284.6170207722125
192,192.0,2274.010534685995
193,193.0,2238.2757065119426
194,194.0,2280.3978497758653
195,195.0,2280.5896504274183
196,196.0,2348.017596827752
197,197.0,2265.910342686021
198,198.0,2272.8125933135034
199,199.0,2245.2369120337844
