,Episodes,Scores
0,0.0,647.4505062491307
1,1.0,663.0245798254621
2,2.0,680.757019468507
3,3.0,615.1391142025078
4,4.0,699.9700848609872
5,5.0,639.8929671495138
6,6.0,838.5362510591865
7,7.0,584.1001911683705
8,8.0,773.601839562101
9,9.0,736.0616344350842
10,10.0,633.8791853557566
11,11.0,807.7383509781491
12,12.0,969.5173212183216
13,13.0,1077.830976660128
14,14.0,1112.8292466052953
15,15.0,1480.5187375419744
16,16.0,1570.8013007610116
17,17.0,2096.6682109571143
18,18.0,2243.3668398743093
19,19.0,2227.934486782235
20,20.0,2010.3824823374412
21,21.0,1583.676369039153
22,22.0,1141.5223356466709
23,23.0,791.6924777904285
24,24.0,559.6902597293953
25,25.0,392.0200107585855
26,26.0,262.1237999714648
27,27.0,178.06483835295194
28,28.0,111.06980510999401
29,29.0,83.2174370839058
30,30.0,50.03761895799716
31,31.0,47.99675919884724
32,32.0,28.075089216280876
33,33.0,21.447218799215943
34,34.0,31.305275147098484
35,35.0,7.360152124723308
36,36.0,5.557139356645168
37,37.0,3.916541861954985
38,38.0,2.9481453988593214
39,39.0,6.554789095077756
40,40.0,10.1942945506052
41,41.0,2.0822337595862006
42,42.0,2.1573490033607774
43,43.0,7.240049063346457
44,44.0,7.041600042783151
45,45.0,4.944367389181422
46,46.0,23.467129740571053
47,47.0,6.986463386343938
48,48.0,20.877488901225917
49,49.0,14.61657764752567
50,50.0,24.617614430267004
51,51.0,33.066789148898906
52,52.0,47.95996088459664
53,53.0,77.11275917395837
54,54.0,134.1503168120303
55,55.0,204.04269718194436
56,56.0,370.21104232599595
57,57.0,723.5820162002299
58,58.0,1177.5458823752324
59,59.0,1382.5184116362695
60,60.0,1859.1086799667162
61,61.0,2096.2371446904513
62,62.0,2331.560515450438
63,63.0,2415.026935073785
64,64.0,2457.1271605125808
65,65.0,2469.037854188271
66,66.0,2458.525949979128
67,67.0,2455.242368907361
68,68.0,2431.2280644070047
69,69.0,2379.1482748912563
70,70.0,2354.709468791835
71,71.0,2360.805772731324
72,72.0,2358.4207433177835
73,73.0,2403.722355575973
74,74.0,2459.083580578661
75,75.0,2471.4327439994026
76,76.0,2479.6579539418644
77,77.0,2458.0063866454625
78,78.0,2429.2274835298413
79,79.0,2383.617421502263
80,80.0,2384.502213375725
81,81.0,2335.4969668458434
82,82.0,2314.8390160118556
83,83.0,2276.9530859998627
84,84.0,2286.390865140933
85,85.0,2265.7829420946737
86,86.0,2265.777613089085
87,87.0,2269.8798988013023
88,88.0,2241.4528947283766
89,89.0,2246.1749558064635
90,90.0,2220.248264405476
91,91.0,2208.4241356440957
92,92.0,2153.5579952893813
93,93.0,2100.074062186703
94,94.0,2028.4118985510236
95,95.0,2043.7863149698146
96,96.0,2016.708316935519
97,97.0,1986.5704328566835
98,98.0,2039.3660665147195
99,99.0,2096.27199809374
100,100.0,2110.239115267341
101,101.0,2079.6709147101215
102,102.0,2081.107987477787
103,103.0,2113.947018865848
104,104.0,2067.577659718849
105,105.0,2050.13620225426
106,106.0,2084.645253475559
107,107.0,2108.253185994879
108,108.0,2052.2470704259763
109,109.0,2002.1789874758479
110,110.0,2018.950987471765
111,111.0,2039.2262501835733
112,112.0,2050.3353499066056
113,113.0,2006.5824961409076
114,114.0,1959.0847325390466
115,115.0,1969.0029808870001
116,116.0,1982.160554780898
117,117.0,1970.8725059628873
118,118.0,1971.4184063921807
119,119.0,2043.6446868636663
120,120.0,2066.3341049269384
121,121.0,2004.5554475467363
122,122.0,1958.884427630037
123,123.0,2017.937949237702
124,124.0,2052.9232288769776
125,125.0,2044.107272010591
126,126.0,1988.9604523495664
127,127.0,1934.932505555852
128,128.0,1975.8100117974884
129,129.0,2007.51098814555
130,130.0,2000.408070143952
131,131.0,1948.5775153541063
132,132.0,1933.6447397026773
133,133.0,1947.8772617776424
134,134.0,1954.9677888733463
135,135.0,1921.1745925968532
136,136.0,1931.6757829848766
137,137.0,1997.3001639164386
138,138.0,2042.6388219116338
139,139.0,2034.4940612802548
140,140.0,2032.9728894699538
141,141.0,2030.0428928200595
142,142.0,2060.479990252331
