,Episodes,Scores
0,0.0,959.2756052407456
1,1.0,986.9750145126392
2,2.0,1084.7228788625262
3,3.0,900.5244433547784
4,4.0,1055.2707473197925
5,5.0,990.8601828195686
6,6.0,934.1798618422167
7,7.0,976.6605849383716
8,8.0,1128.4767382935843
9,9.0,952.365046643226
10,10.0,1035.4605893972346
11,11.0,1156.5536268561768
12,12.0,1377.8574085112218
13,13.0,1315.532075930495
14,14.0,1410.3027016939027
15,15.0,1546.8566637078748
16,16.0,1680.2660127082145
17,17.0,1635.7610144734288
18,18.0,1798.6504749126789
19,19.0,1821.9107477915773
20,20.0,1695.8548476803392
21,21.0,1825.5490928440738
22,22.0,1723.0106372480552
23,23.0,1646.8457657764216
24,24.0,1868.4990367150558
25,25.0,1906.8587574098567
26,26.0,1769.016306077804
27,27.0,1955.3764661685923
28,28.0,1861.288607136405
29,29.0,1777.3845297773466
30,30.0,1874.8248907909358
31,31.0,1970.9535147171764
32,32.0,1873.891385435216
33,33.0,1805.3249182626278
34,34.0,2014.5606805388704
35,35.0,2078.0934951184804
36,36.0,1936.3815738189348
37,37.0,1959.1059778170259
38,38.0,2016.2983772191674
39,39.0,1954.8315666002113
40,40.0,2041.7267153193034
41,41.0,1880.7839743023767
42,42.0,2063.61497554996
43,43.0,2103.4402578664494
44,44.0,2008.146817714141
45,45.0,2078.335402199642
46,46.0,2070.9743797390383
47,47.0,2145.31208742315
48,48.0,2012.6739103446816
49,49.0,2070.2438251784674
50,50.0,2112.4085481911666
51,51.0,2040.009972058392
52,52.0,2176.688187683972
53,53.0,2146.563365347881
54,54.0,2061.4567722346346
55,55.0,2115.210055786071
56,56.0,2096.5083132421832
57,57.0,1965.7780745074551
58,58.0,2075.2096058492643
59,59.0,2015.3381253208247
60,60.0,1933.2639080113872
61,61.0,1696.5647623730554
62,62.0,1644.8173143075076
63,63.0,1521.361757440812
64,64.0,1407.77014067676
65,65.0,1495.8140564175528
66,66.0,1456.7322145978942
67,67.0,1658.3557198562082
68,68.0,1647.1450269133275
69,69.0,1695.6708496154922
70,70.0,1786.141942344843
71,71.0,1898.2743486569102
72,72.0,1900.0488554340932
73,73.0,2060.0531437294762
74,74.0,1983.206912181681
75,75.0,1932.8838718275213
76,76.0,1910.7810921002445
77,77.0,1934.4506054527692
78,78.0,1577.915864744144
79,79.0,1675.5361718560862
80,80.0,1638.1470497277464
81,81.0,1647.4221932163045
82,82.0,1552.275228604462
83,83.0,1730.9847741668207
84,84.0,1460.1178053207534
85,85.0,1769.3736584548303
86,86.0,1693.0978345591384
87,87.0,1689.621485732233
88,88.0,1590.3644642645536
89,89.0,1640.776818473392
90,90.0,1646.2115335822923
91,91.0,1632.871223685629
92,92.0,1512.5421491593274
93,93.0,1650.5639512814141
94,94.0,1302.787817563952
95,95.0,1651.7549413832985
96,96.0,1437.4557778845642
97,97.0,1452.0158950844302
98,98.0,1561.559482537882
99,99.0,1572.616405265527
100,100.0,1458.8611322050576
101,101.0,1694.490657072467
102,102.0,1504.2798166664722
103,103.0,1473.1784756002014
104,104.0,1510.833857220349
105,105.0,1574.501280759677
106,106.0,1565.4158862058096
107,107.0,1482.8257421114993
108,108.0,1674.3241288844135
109,109.0,1528.3461140222103
110,110.0,1494.455969679816
111,111.0,1441.7522087441866
112,112.0,1418.2647899848
113,113.0,1421.7792688913173
114,114.0,1462.0353546380268
115,115.0,1580.6648126698767
116,116.0,1389.117782824762
117,117.0,1330.2854984435767
118,118.0,1446.2562731273829
119,119.0,1448.6836338652606
120,120.0,1378.7752045676418
121,121.0,1428.1216386162337
122,122.0,1375.216987525845
123,123.0,1517.0121901011285
124,124.0,1444.1215926476248
125,125.0,1576.2535109611908
126,126.0,1656.808742654396
127,127.0,1627.9242560351856
128,128.0,1424.3516315877544
129,129.0,1498.0633793905222
130,130.0,1612.777591965366
131,131.0,1486.9828923215448
132,132.0,1484.4641712477728
133,133.0,1568.1255258813321
134,134.0,1485.2531084025784
135,135.0,1736.6469113333264
136,136.0,1605.6623494168364
137,137.0,1578.1536451941577
138,138.0,1649.499998589318
139,139.0,1652.7290547730029
140,140.0,1618.3213510853764
141,141.0,1599.6943343435037
142,142.0,1897.847358054694
143,143.0,1908.199186288138
144,144.0,1761.5665652301977
145,145.0,1813.7614350480724
146,146.0,1639.878391430216
147,147.0,1766.7292915019625
148,148.0,1834.5833150665976
149,149.0,1791.2800230594721
150,150.0,1802.3936533609979
151,151.0,1872.4945850345186
152,152.0,1886.5177640466593
153,153.0,1854.6912475130912
154,154.0,1898.1892985276181
155,155.0,1986.3978531417388
156,156.0,1950.8192934604947
157,157.0,1935.6537742408805
158,158.0,1993.0289436417424
159,159.0,1877.8650929487335
160,160.0,2080.1938418529653
161,161.0,1920.2836607664005
162,162.0,2028.5163884977171
163,163.0,1938.6009068342028
164,164.0,1870.9524174481771
165,165.0,2050.491010748248
166,166.0,2004.177209523854
167,167.0,1923.7473013342096
168,168.0,1954.4855026526266
169,169.0,1967.8279970274707
170,170.0,2004.0746133347395
171,171.0,2004.3836031035742
172,172.0,2007.8476156904928
173,173.0,2028.2900128777974
174,174.0,1990.9062330957947
175,175.0,2135.3398275871164
176,176.0,1974.6436619484514
177,177.0,1951.4591690172333
178,178.0,1997.361375024071
179,179.0,2075.3893519702924
180,180.0,2155.047127726165
181,181.0,2095.740536339608
182,182.0,2029.9515012746494
183,183.0,2127.553655569521
184,184.0,2107.9176086651623
185,185.0,2066.278068317507
186,186.0,2028.1925858767536
187,187.0,2010.1145940137444
188,188.0,2086.2896554084596
189,189.0,2004.8006341308935
190,190.0,2047.5701580388527
191,191.0,2087.6663427011017
192,192.0,2122.227782101242
193,193.0,2124.48767993066
194,194.0,2153.057094751778
195,195.0,2014.8593686317029
196,196.0,2028.8597473176565
197,197.0,2142.4556610347818
198,198.0,2129.347110340516
199,199.0,2110.16271058707
200,200.0,2071.633902724946
201,201.0,2174.334927525361
202,202.0,2159.788848039335
203,203.0,2126.10770590577
204,204.0,2133.763399544325
205,205.0,2168.1472546389723
206,206.0,2108.11471117843
