,0,1,2,3,4,5,6,7,8,9
0,218.29371325106672,219.02634606416197,219.16779362376946,247.00965609919592,218.99298534284645,218.6800432788092,220.03663162279366,218.98895985424974,218.38434128782689,218.3187030522562
1,220.31474951267163,221.4664725240757,220.64815326126347,221.82001587248038,246.99417048485162,222.01407806995152,221.1332277891043,220.85017181778565,233.9393632687214,219.9679511383677
2,216.65762376476852,218.63982170142577,219.77467398726264,219.66293209576833,246.3119938681129,217.83279769625486,217.93411674955254,217.0581798612443,216.08054274191593,217.68084651810858
3,215.20302750315093,218.44912021843498,220.65267997547227,218.6885122874863,226.86803351866828,225.9492404585187,243.31798314431788,221.1467159701303,218.36768074801034,217.3117906230274
4,223.0068744164632,218.32882945786656,217.3637857530101,219.81397841666794,247.54855024140633,235.46354780397607,220.53857522405207,231.30165846648737,221.73297038516984,219.4199647692565
5,228.95600363909114,229.72483689368963,228.07164920333432,223.05353640512783,246.31225552951443,227.7551455341355,228.00077051258336,227.8988904470234,225.01203012785027,225.19465600157403
6,224.74300621218617,218.05695630276725,220.60894942749565,220.97859927135727,218.01173701154136,224.40131554967283,226.4826905208355,244.30411085291382,221.0438168097866,218.91658325142805
7,232.5649078011815,233.6276095549577,235.00748543413755,234.63018107889508,239.53469068707182,248.88190028831087,235.07333106408964,235.1061910402047,234.23055278415126,238.36992275561832
8,235.89925112939747,237.2160676332349,237.96600312590593,244.58416104081405,246.9065916463278,236.36921548143138,244.92581187585932,237.0134363579849,241.4608597710555,235.7941623386719
9,229.12678562860486,229.65290046305935,234.8566256641654,238.16645274626887,234.52062258456002,247.8942203051498,232.613961309959,233.78750371291773,232.42437696360122,228.81207028656604
10,217.51684893609405,217.39721556432357,218.0576657276851,218.10221258425662,217.7996670008156,227.16104509301238,216.6254673392226,218.15600841717716,245.29396032825449,216.41388745986026
11,217.34345151079944,217.36746032922787,243.10188593401364,217.6444336953592,220.21725700515861,217.98454094291623,216.5262624810968,217.57285040573123,217.69042179120348,214.82030832023042
12,218.1928323253038,219.85670670988208,244.73352501065474,220.39797719724848,220.50440156959476,220.518036393922,219.9905831635979,219.7502604896915,219.85162083668374,219.6097873585849
13,218.4172306978786,219.42223374524195,219.1140335436352,219.35746550213267,219.21093186132273,218.999206396485,218.85369487445672,244.30364431878334,218.99093278345356,219.3512957649174
14,220.10046533340073,219.63332201147935,220.9338240346635,220.85960956450748,220.93434688834958,220.93497626089044,220.87574315515087,220.89437108739773,245.2930198072942,220.34729302987267
15,221.95971658766143,222.94893867869808,221.71340864542447,223.1968870137158,223.21239680337357,223.43163455911687,223.4694317865522,244.87388630404513,223.59580288612392,222.36538558304073
16,222.72305228130529,224.4451796143317,224.61357188304777,224.6942517644196,249.07851983524426,224.805890368426,224.69416409645325,224.93620722793867,224.9580343144578,224.35828973443543
17,219.44429579292165,219.69995031451427,222.50052671817474,219.48955517110863,218.96246784386528,247.89321350892567,219.49467774760706,218.5140453186477,217.80214571688367,218.64721874748238
18,221.68563081924856,224.50571229231605,223.71733868808838,223.7230228555564,224.6932598921355,224.38277126885805,251.10188633672698,222.2555139214408,224.0970881130352,224.34676503705933
19,217.64369870804614,218.73368744491466,218.61474784861156,218.74471424044077,218.97593850401455,248.87882127507754,218.4683249627097,218.40385782069686,218.66783435355464,218.9323610267442
