,Episodes,Scores
0,0.0,927.1911029486786
1,1.0,756.3309866340172
2,2.0,899.7857361493724
3,3.0,873.9924497500256
4,4.0,742.5364758698094
5,5.0,529.6194265891235
6,6.0,678.4205693296602
7,7.0,806.8972553821038
8,8.0,833.0374451586573
9,9.0,765.69737781859
10,10.0,826.3034384246507
11,11.0,792.1028466483012
12,12.0,890.6642179369453
13,13.0,882.9711253953677
14,14.0,1003.2241607999182
15,15.0,860.5448423630241
16,16.0,1004.0199979593921
17,17.0,889.929599020508
18,18.0,842.1997755331086
19,19.0,909.4786246301398
20,20.0,727.9461279461281
21,21.0,946.16875828997
22,22.0,970.5948372615042
23,23.0,827.0788695031122
24,24.0,1167.9012345679014
25,25.0,902.9078665442305
26,26.0,968.6970717273747
27,27.0,857.7288031833488
28,28.0,1035.0780532598717
29,29.0,919.4163860830527
30,30.0,996.1432506887053
31,31.0,963.677175798388
32,32.0,966.2891541679421
33,33.0,865.3810835629018
34,34.0,827.9563309866339
35,35.0,1044.6280991735532
36,36.0,943.1282522191613
37,37.0,894.643403734313
38,38.0,1126.8441995714725
39,39.0,982.5936128966432
40,40.0,1040.58769513315
41,41.0,1236.6901336598307
42,42.0,975.5943271094787
43,43.0,986.2258953168047
44,44.0,1232.119171513111
45,45.0,997.6124885215798
46,46.0,1049.3214978063463
47,47.0,1252.8313437404347
48,48.0,1089.2561983471078
49,49.0,1093.66391184573
50,50.0,1040.7917559432713
51,51.0,1185.1443730231606
52,52.0,1105.8463422099783
53,53.0,971.3702683399656
54,54.0,1165.7585960616266
55,55.0,1154.616875828997
56,56.0,1067.2380369350067
57,57.0,1183.9608203244568
58,58.0,1164.248546066728
59,59.0,1089.1541679420461
60,60.0,1079.3592490562187
61,61.0,1231.3233343536372
62,62.0,1223.079277624732
63,63.0,1231.3029282726254
64,64.0,1194.102642587491
65,65.0,1199.9387817569639
66,66.0,1150.2499744923985
67,67.0,1134.9658198143054
68,68.0,1363.9424548515458
69,69.0,1280.0530558106313
70,70.0,1105.1321293745536
71,71.0,1348.6174880114274
72,72.0,1296.071829405163
73,73.0,1245.342312008979
74,74.0,1221.4876033057847
75,75.0,1467.7481889603102
76,76.0,1480.175492296704
77,77.0,1320.701969186818
78,78.0,1332.8027752270175
79,79.0,1390.205081114172
80,80.0,1441.8120599938777
81,81.0,1335.5984083256803
82,82.0,1253.5659626568715
83,83.0,1030.670339761249
84,84.0,1410.3458830731558
85,85.0,1313.6414651566163
86,86.0,1347.3523109886742
87,87.0,1347.842056932966
88,88.0,1503.642485460667
89,89.0,1261.544740332619
90,90.0,1521.1713090500966
91,91.0,1464.1363126211616
92,92.0,1407.019691868177
93,93.0,1540.63871033568
94,94.0,1367.3910825425978
95,95.0,1327.1298847056426
96,96.0,1637.0166309560252
97,97.0,1514.7229874502593
98,98.0,1650.7703295582085
99,99.0,1507.9889807162533
100,100.0,1482.6854402611984
101,101.0,1417.7941026425872
102,102.0,1466.0544842363022
103,103.0,1763.575145393326
104,104.0,1515.6412610958068
105,105.0,1498.1940618304257
106,106.0,1629.6500357106413
107,107.0,1706.4381185593297
108,108.0,1611.7947148250175
109,109.0,1581.430466278951
110,110.0,1616.1412100806033
111,111.0,1537.7206407509432
112,112.0,1616.6921742679315
113,113.0,1588.4705642281397
114,114.0,1794.592388531782
115,115.0,1730.1703907764509
116,116.0,1729.3745536169774
117,117.0,1654.014896439138
118,118.0,1721.6814610753995
119,119.0,1744.4750535659618
120,120.0,1804.3056830935616
121,121.0,2013.3863891439646
122,122.0,1723.1915110702992
123,123.0,1964.819916335067
124,124.0,1992.9190898887864
125,125.0,1859.1572288541981
126,126.0,1886.970717273748
127,127.0,1812.1824303642477
128,128.0,1940.638710335679
129,129.0,1931.6192225283135
130,130.0,1922.2732374247528
131,131.0,1987.2461993674106
132,132.0,1873.686358534843
133,133.0,1947.0666258545043
134,134.0,1861.8712376288127
135,135.0,1921.9263340475459
136,136.0,1876.502397714519
