,Episodes,Scores
0,0.0,80.78767472706866
1,1.0,0.0
2,2.0,96.58198143046627
3,3.0,55.99428629731659
4,4.0,24.691358024691358
5,5.0,10.651974288337914
6,6.0,51.9334761759004
7,7.0,22.22222222222222
8,8.0,90.23569023569024
9,9.0,38.2001836547291
10,10.0,83.48127742067138
11,11.0,58.993980206101426
12,12.0,80.97132945617795
13,13.0,86.58300173451687
14,14.0,51.97428833792469
15,15.0,103.9485766758494
16,16.0,62.442607897153344
17,17.0,41.26109580655033
18,18.0,79.82858891949796
19,19.0,42.97520661157026
20,20.0,53.81083562901745
21,21.0,131.27231915110704
22,22.0,31.38455259667381
23,23.0,101.37741046831954
24,24.0,121.13049688807264
25,25.0,108.64197530864196
26,26.0,104.70360167329864
27,27.0,30.119375573921026
28,28.0,46.09733700642792
29,29.0,184.57300275482098
30,30.0,74.99234771962044
31,31.0,73.5027038057341
32,32.0,177.9614325068871
33,33.0,102.601775329048
34,34.0,65.05458626670749
35,35.0,122.66095296398326
36,36.0,112.31506989082743
37,37.0,154.08631772268137
38,38.0,190.3683297622691
39,39.0,146.47484950515255
40,40.0,49.44393429241914
41,41.0,190.062238547087
42,42.0,115.70247933884299
43,43.0,97.11253953678195
44,44.0,127.1094786246301
45,45.0,100.39791857973674
46,46.0,99.23477196204468
47,47.0,167.6563615957555
48,48.0,229.2623201714111
49,49.0,67.05438220589737
50,50.0,207.7339047036017
51,51.0,113.1313131313131
52,52.0,123.08948066523824
53,53.0,174.7168656259565
54,54.0,164.84032241608003
55,55.0,138.33282318130804
56,56.0,93.29660238751147
57,57.0,143.88327721661057
58,58.0,167.02377308437914
59,59.0,125.53821038669523
60,60.0,127.55841240689722
61,61.0,206.3871033568003
62,62.0,217.4063871033568
63,63.0,198.20426487093152
64,64.0,135.2310988674625
65,65.0,151.55596367717578
66,66.0,152.80073461891644
67,67.0,252.9333741454953
68,68.0,218.40628507295173
69,69.0,296.1738598102234
70,70.0,193.67411488623608
71,71.0,167.59514335271908
72,72.0,244.97500255076005
73,73.0,255.81063156820733
74,74.0,180.28772574227122
75,75.0,282.46097337006427
76,76.0,178.79808182838485
77,77.0,302.03040506070806
78,78.0,208.1624324048566
79,79.0,292.3783287419651
80,80.0,198.06142230384654
81,81.0,166.79930619324557
82,82.0,315.88613406795224
83,83.0,245.40353025201512
84,84.0,410.1826344250587
85,85.0,303.5404550556065
86,86.0,387.89919395979996
87,87.0,272.768084889297
88,88.0,407.2849709213345
89,89.0,168.1461075400469
90,90.0,280.60401999795937
91,91.0,373.2884399551065
92,92.0,269.6459544944393
93,93.0,360.90194878073663
94,94.0,359.67758392000815
95,95.0,333.435363738394
96,96.0,244.3220079583716
97,97.0,288.11345781042746
98,98.0,255.21885521885525
99,99.0,324.08937863483317
100,100.0,292.86807468625653
101,101.0,312.7640036730946
102,102.0,370.2887460463218
103,103.0,308.76441179471476
104,104.0,365.3708805223958
105,105.0,506.0708091011121
106,106.0,407.2849709213344
107,107.0,441.6079991837568
108,108.0,388.47056422814
109,109.0,319.8653198653198
110,110.0,465.5239261299867
111,111.0,308.9888786858485
112,112.0,309.4786246301397
113,113.0,321.6814610754005
114,114.0,384.5525966738089
115,115.0,441.85287215590245
116,116.0,326.4972961942658
117,117.0,404.1016222834403
118,118.0,469.4418936843179
119,119.0,456.4228139985715
