,Episodes,Scores
0,0.0,1588.9399040914186
1,1.0,1718.6409550045905
2,2.0,1514.4985205591263
3,3.0,1618.834812774206
4,4.0,1750.6989082746654
5,5.0,1675.0739720436682
6,6.0,1500.887664524028
7,7.0,1629.6500357106418
8,8.0,1674.196510560146
9,9.0,1725.619834710743
10,10.0,1730.8437914498513
11,11.0,1646.627895112743
12,12.0,1668.3807774716865
13,13.0,1679.9714314865819
14,14.0,1694.2760942760935
15,15.0,1837.404346495255
16,16.0,1945.0260177532898
17,17.0,1848.9337822671143
18,18.0,1770.0438730741762
19,19.0,1956.433017039077
20,20.0,1809.0194878073662
21,21.0,1803.7547189062336
22,22.0,1830.40506070809
23,23.0,1754.576063666972
24,24.0,1856.5044383226198
25,25.0,2016.365676971738
26,26.0,1965.2280379553101
27,27.0,1852.3620038771555
28,28.0,1963.4118967452293
29,29.0,1906.3769003162931
30,30.0,1863.3812876237103
31,31.0,1951.0458116518714
32,32.0,1878.7266605448426
33,33.0,1911.519232731353
34,34.0,1978.451178451178
35,35.0,1912.8048158351185
36,36.0,1904.9280685644321
37,37.0,1955.6983981226388
38,38.0,1988.7358432812973
39,39.0,2031.0376492194662
40,40.0,1938.55729007244
41,41.0,2077.298234873992
42,42.0,1975.8596061626356
43,43.0,1914.1924293439433
44,44.0,1971.2682379349042
45,45.0,2099.2551780430567
46,46.0,2079.1143760840723
47,47.0,2047.831853892459
48,48.0,2046.1177430874395
49,49.0,2026.4462809917359
50,50.0,2040.5672890521364
51,51.0,2075.808590960106
52,52.0,2015.9371492704818
53,53.0,2044.2607897153348
54,54.0,2151.249872461993
55,55.0,2156.4534231200896
56,56.0,2079.9102132435455
57,57.0,2152.0253035404544
58,58.0,2081.461075400469
59,59.0,2109.723497602285
60,60.0,2164.003673094582
61,61.0,2127.9665340271395
62,62.0,2246.8727680848892
63,63.0,2175.0229568411373
64,64.0,2130.0275482093657
65,65.0,2080.0122436486067
66,66.0,2013.386389143964
67,67.0,2144.760738700132
68,68.0,2198.428731762065
69,69.0,2158.16753392511
70,70.0,2218.528721559023
71,71.0,2180.9611264156715
72,72.0,2154.004693398632
73,73.0,2153.6169778594017
74,74.0,2123.1098867462497
75,75.0,2191.1233547597176
76,76.0,2217.8553208856238
77,77.0,2105.662687480869
78,78.0,2271.3396592184467
79,79.0,2208.080808080808
80,80.0,2155.4943373125193
81,81.0,2152.8619528619533
82,82.0,2203.1425364758693
83,83.0,2211.24375063769
84,84.0,2276.359555147434
85,85.0,2236.87378838894
86,86.0,2120.7223752678287
87,87.0,2271.870217324763
88,88.0,2240.955004591368
89,89.0,2175.3902662993564
90,90.0,2217.590041832466
91,91.0,2266.60544842363
92,92.0,2197.163554739311
93,93.0,2306.2136516681976
94,94.0,2248.97459442914
95,95.0,2261.769207223753
96,96.0,2257.769615345373
97,97.0,2314.3964901540667
98,98.0,2326.3748597081935
99,99.0,2335.8432812978276
100,100.0,2157.7390062238537
101,101.0,2280.0938679726555
102,102.0,2279.665340271401
103,103.0,2259.5653504744414
104,104.0,2347.944087338026
105,105.0,2276.7064585246408
106,106.0,2324.028160391796
107,107.0,2272.7680848892965
108,108.0,2284.8688909294974
109,109.0,2346.882971125395
110,110.0,2277.7879808182843
111,111.0,2254.0557086011627
112,112.0,2300.8876645240293
113,113.0,2318.192021222325
114,114.0,2313.1925313743495
115,115.0,2271.56412610958
116,116.0,2372.7170696867684
117,117.0,2311.7028874604634
118,118.0,2288.8684828078763
119,119.0,2324.3138455259677
120,120.0,2225.9973472094684
121,121.0,2346.964595449445
122,122.0,2361.554943373126
123,123.0,2272.829303132333
124,124.0,2320.191817161514
125,125.0,2246.893174165901
126,126.0,2302.6425874910715
127,127.0,2264.197530864198
128,128.0,2226.242220181613
129,129.0,2310.2948678706257
130,130.0,2363.738394041425
131,131.0,2268.8501173349655
132,132.0,2351.372308948068
133,133.0,2362.942556881951
134,134.0,2298.663401693706
135,135.0,2323.620038771555
136,136.0,2379.1041730435672
137,137.0,2346.087133965921
138,138.0,2299.3776145291304
139,139.0,2366.187123762882
140,140.0,2356.698296092235
141,141.0,2355.269870421386
142,142.0,2350.3928170594836
143,143.0,2375.492296704418
144,144.0,2349.59697990001
145,145.0,2345.0872359963278
146,146.0,2367.2278338945007
147,147.0,2293.378226711559
148,148.0,2356.1065197428834
149,149.0,2341.536577900214
150,150.0,2333.0884603611876
151,151.0,2367.0441791653925
152,152.0,2349.678604224059
153,153.0,2292.3375165799403
154,154.0,2321.620242832364
155,155.0,2302.7038057341083
156,156.0,2380.491786552393
157,157.0,2381.369248035916
158,158.0,2327.374757677789
159,159.0,2307.4380165289263
160,160.0,2336.5166819712276
161,161.0,2339.2102846648318
162,162.0,2423.854708703195
163,163.0,2389.5928986838076
164,164.0,2357.636975818794
165,165.0,2333.925109682685
166,166.0,2357.718600142843
167,167.0,2386.491174369963
168,168.0,2375.0433629221507
169,169.0,2386.695235180083
170,170.0,2384.164881134577
171,171.0,2379.838791960004
172,172.0,2367.1462095704524
173,173.0,2385.61371288644
174,174.0,2395.6943169064384
175,175.0,2366.309560248954
176,176.0,2385.593306805428
177,177.0,2365.146413631264
178,178.0,2376.614631160085
179,179.0,2401.510049994899
180,180.0,2395.9800020406074
181,181.0,2392.470156106519
182,182.0,2411.5498418528723
183,183.0,2395.2657892051825
184,184.0,2368.8195082134484
185,185.0,2423.242526272829
186,186.0,2362.636465666768
187,187.0,2393.3476175900414
188,188.0,2417.1819202122238
189,189.0,2403.122130394857
190,190.0,2383.2057953270078
191,191.0,2385.2464034282216
192,192.0,2396.306499336802
193,193.0,2388.735843281297
194,194.0,2386.1238649117436
195,195.0,2395.469850015305
196,196.0,2369.758187940006
197,197.0,2379.5939189878577
198,198.0,2425.2219161310063
199,199.0,2414.835220895826
200,200.0,2422.8956228956217
201,201.0,2425.589225589225
202,202.0,2402.550760126517
203,203.0,2442.5466789103143
204,204.0,2425.3239465360666
205,205.0,2400.918273645547
206,206.0,2429.915314763799
207,207.0,2443.1588613406793
208,208.0,2437.4859708193044
209,209.0,2421.9977553310887
210,210.0,2462.2589531680437
211,211.0,2411.121314151617
212,212.0,2451.566166717681
213,213.0,2436.445260687684
214,214.0,2406.9176614631156
215,215.0,2425.9973472094684
216,216.0,2402.244668911335
217,217.0,2452.3007856341187
218,218.0,2418.4470972349754
219,219.0,2426.0381593714915
220,220.0,2439.7306397306384
221,221.0,2409.8765432098753
222,222.0,2431.9559228650132
223,223.0,2451.4233241505967
224,224.0,2432.098765432098
225,225.0,2449.7092133455762
226,226.0,2400.6529945923876
227,227.0,2458.014488317518
228,228.0,2474.1148862360965
229,229.0,2468.278747066625
230,230.0,2470.013263952657
231,231.0,2418.8960310172424
232,232.0,2434.486276910519
233,233.0,2442.5670849913263
234,234.0,2437.7920620344844
235,235.0,2437.7512498724614
236,236.0,2457.9124579124573
237,237.0,2428.6297316600335
238,238.0,2457.7288031833477
239,239.0,2450.198959289867
240,240.0,2480.6244260789704
241,241.0,2464.5036220793777
242,242.0,2459.402101826342
243,243.0,2448.9337822671146
244,244.0,2460.218345066828
245,245.0,2466.8911335577986
246,246.0,2459.789817365575
247,247.0,2455.7290072441574
248,248.0,2452.99459238853
249,249.0,2461.0958065503505
250,250.0,2457.647178859299
251,251.0,2468.1359044995393
252,252.0,2460.8713396592175
253,253.0,2475.8902152841524
254,254.0,2457.1982450770315
255,255.0,2454.6270788695015
256,256.0,2482.7058463422086
257,257.0,2457.9736761554927
258,258.0,2481.3590449954067
259,259.0,2476.1963064993356
260,260.0,2478.889909192938
261,261.0,2475.5229058259347
262,262.0,2457.5247423732258
263,263.0,2437.037037037036
264,264.0,2490.3989388837854
265,265.0,2473.257830833587
266,266.0,2467.6053463932235
267,267.0,2464.626058565451
268,268.0,2450.974390368328
269,269.0,2456.4432200795814
270,270.0,2486.2156922762965
271,271.0,2477.849199061319
272,272.0,2480.0326497296173
273,273.0,2485.9504132231386
274,274.0,2475.7473727170686
275,275.0,2482.481379451075
276,276.0,2485.317824711763
277,277.0,2471.523313947555
278,278.0,2478.1961024385255
279,279.0,2479.6653402713982
280,280.0,2476.930925415772
281,281.0,2458.4226099377597
282,282.0,2476.0942760942735
283,283.0,2469.2378328741943
284,284.0,2469.931639628608
285,285.0,2476.8901132537476
286,286.0,2481.624324048565
287,287.0,2482.399755127026
288,288.0,2492.092643607793
289,289.0,2484.0934598510335
290,290.0,2487.256402407916
291,291.0,2463.973063973062
292,292.0,2474.502601775327
293,293.0,2479.5837159473513
294,294.0,2490.3989388837854
295,295.0,2485.072951739616
296,296.0,2466.4421997755308
297,297.0,2463.7894092439524
298,298.0,2486.8482807876726
299,299.0,2486.7258443016003
300,300.0,2483.909805121925
301,301.0,2492.113049688805
302,302.0,2484.4607693092526
303,303.0,2485.236200387714
304,304.0,2475.2984389348003
305,305.0,2479.8285889194963
306,306.0,2489.847974696457
307,307.0,2468.62565044383
308,308.0,2490.3581267217614
309,309.0,2488.786858483826
310,310.0,2490.133659830628
311,311.0,2486.44015916743
312,312.0,2488.8072645648385
313,313.0,2488.970513212935
314,314.0,2477.2370166309547
315,315.0,2482.195694316905
316,316.0,2487.3584328129764
317,317.0,2489.1337618610323
