,Episodes,Scores
0,0.0,1021.0361991949554
1,1.0,965.1348854948976
2,2.0,870.6710235772332
3,3.0,1005.4890375447619
4,4.0,1060.6020605640722
5,5.0,1002.5724663913755
6,6.0,1122.150555063408
7,7.0,1034.3885767168722
8,8.0,1029.49076229426
9,9.0,843.7712009302987
10,10.0,948.7005789447787
11,11.0,1127.0453916328513
12,12.0,1373.440929869539
13,13.0,1643.268721997107
14,14.0,1818.3696184205164
15,15.0,2036.9144093497398
16,16.0,2116.090722679644
17,17.0,1998.2774132804875
18,18.0,1699.4871601892166
19,19.0,1416.017068771631
20,20.0,1105.32778101527
21,21.0,739.8587751869018
22,22.0,496.76199229083454
23,23.0,351.30895352179937
24,24.0,269.48255998343205
25,25.0,233.81905113880842
26,26.0,202.18586266202465
27,27.0,210.67633961823358
28,28.0,203.04532456293208
29,29.0,221.60781235371192
30,30.0,249.27666547755345
31,31.0,275.6153895616003
32,32.0,287.4622881356515
33,33.0,237.56591113341847
34,34.0,220.1182583878319
35,35.0,191.99523641874043
36,36.0,197.5723739437491
37,37.0,199.0447407680382
38,38.0,226.1938805455888
39,39.0,279.848285391338
40,40.0,329.4900725016098
41,41.0,374.9774943335191
42,42.0,447.6428870111355
43,43.0,549.9676254207023
44,44.0,703.0563432160125
45,45.0,850.6196698137844
46,46.0,1009.5734902768041
47,47.0,1198.452878833603
48,48.0,1256.298083839284
49,49.0,1284.4180105186356
50,50.0,1287.5698420335398
51,51.0,1318.021253009132
52,52.0,1418.8969495272383
53,53.0,1560.1947730296793
54,54.0,1682.1420692897525
55,55.0,1861.299379486945
56,56.0,1928.804940806872
57,57.0,2098.4628507541893
58,58.0,2175.6401623430606
59,59.0,2192.960246347721
60,60.0,2300.430856621847
61,61.0,2347.605829038102
62,62.0,2313.180035504647
63,63.0,2383.0770078730948
64,64.0,2414.480652066911
65,65.0,2411.664526829059
66,66.0,2414.41579166678
67,67.0,2431.883584173035
68,68.0,2354.783682864134
69,69.0,2256.6772977738674
70,70.0,2188.124534777955
71,71.0,2110.0531421851115
72,72.0,1879.5214868437097
73,73.0,1859.8041422961944
74,74.0,1826.9869187087409
75,75.0,1826.1931814089944
76,76.0,1820.8518660046104
77,77.0,1808.6319795396523
78,78.0,1801.8254332315123
79,79.0,1727.3338327735735
80,80.0,1679.1290954553988
81,81.0,1500.5789326167544
82,82.0,1411.1165836490843
83,83.0,1267.3643282305552
84,84.0,1230.8651084710586
85,85.0,1320.7657197285132
86,86.0,1318.4696500758882
87,87.0,1303.7359998418985
88,88.0,1315.6323636222671
89,89.0,1299.7515559730211
90,90.0,1282.4341204599357
91,91.0,1291.5870441976617
92,92.0,1377.8603954525997
93,93.0,1338.7469649836114
94,94.0,1296.2875072219579
95,95.0,1350.6075412031512
96,96.0,1397.7897834388134
97,97.0,1434.8416616709258
98,98.0,1487.929680492769
99,99.0,1566.1395538716754
100,100.0,1643.955840125351
101,101.0,1664.0965705132996
102,102.0,1634.8477366776121
103,103.0,1661.6093996576615
104,104.0,1688.4230891792702
105,105.0,1790.961096027135
106,106.0,1886.2524656828193
107,107.0,2002.407311629242
108,108.0,2046.104015080284
109,109.0,2007.8264312426506
110,110.0,1959.7777753897437
111,111.0,1976.8582976870455
112,112.0,2008.112454719233
113,113.0,1987.9687337362636
114,114.0,1995.1666811177226
115,115.0,2018.990348051196
116,116.0,1940.4916600509757
117,117.0,1856.5213473797703
118,118.0,1836.4307266295243
119,119.0,1783.0583137331914
120,120.0,1784.205046206474
121,121.0,1829.5781996774417
122,122.0,1907.7818749769974
123,123.0,1940.3141794940664
124,124.0,1988.855415881988
125,125.0,1971.6254299957034
126,126.0,1900.322481207575
127,127.0,1859.1975195207995
128,128.0,1832.1924096554549
129,129.0,1822.5374117442996
130,130.0,1788.710775612492
131,131.0,1760.9985466625194
132,132.0,1742.5554968173133
133,133.0,1724.2369190577222
134,134.0,1724.1900388611953
135,135.0,1726.4181430846772
136,136.0,1727.2735470316904
137,137.0,1683.692124899707
138,138.0,1736.48985128546
139,139.0,1772.4196651653417
140,140.0,1800.985095687399
141,141.0,1849.5022189842455
142,142.0,1923.2564614269547
143,143.0,1961.0069217408177
144,144.0,1931.4997828558155
145,145.0,1934.3257110275836
146,146.0,1920.0050210619113
147,147.0,1910.767734946344
148,148.0,1917.4431309060835
149,149.0,1972.3578586537012
150,150.0,1957.559543553288
151,151.0,1885.345930791392
152,152.0,1792.8393455546116
153,153.0,1790.9033479986715
154,154.0,1779.1466749909632
155,155.0,1755.9326721486775
156,156.0,1721.9373442124488
157,157.0,1721.168888713199
158,158.0,1719.078518153398
159,159.0,1713.814051370228
160,160.0,1719.932402613476
161,161.0,1725.044382410475
162,162.0,1737.6105024103315
163,163.0,1748.3998494908174
164,164.0,1742.4386094471727
165,165.0,1715.6415808917927
166,166.0,1717.7850765008059
167,167.0,1702.127472421385
168,168.0,1697.6967460282235
169,169.0,1693.3822546856206
170,170.0,1706.8646159385123
171,171.0,1692.9149831333307
172,172.0,1664.0365391371274
173,173.0,1662.0470052364255
174,174.0,1667.6018968041749
175,175.0,1669.0652688725877
176,176.0,1649.4265027858698
177,177.0,1656.1960536473348
178,178.0,1680.9439336776145
179,179.0,1721.3622088760967
180,180.0,1735.8507129980605
181,181.0,1734.3134189289112
182,182.0,1773.5155043004781
183,183.0,1791.054541263259
184,184.0,1821.7703881596624
185,185.0,1877.0571327002062
186,186.0,1936.6174692224868
187,187.0,1915.338331397535
188,188.0,1888.4134053296084
189,189.0,1914.1513680764883
190,190.0,1929.4700639406115
191,191.0,1865.6774161516207
192,192.0,1850.1863742830856
193,193.0,1866.0948906593383
194,194.0,1841.1237794151248
